strategy,hardware,offload_split,offload_frac,disk_frac,mean_latency_ms,total_time_s,prefill_time_s,accuracy
h2o_128,B200,0.5/0.5/0.0,0.5,0.0,1.633551728568579,0.7775446679443121,0.0016075968742370605,46.5
h2o_128,B200,0.3/0.3/0.4,0.3,0.4,2.151180425756856,1.0234182991087437,0.0016075968742370605,46.5
h2o_128,B200,0.5/0.0/0.5,0.0,0.5,2.257252322215783,1.073802449926734,0.0016075968742370605,46.5
h2o_128,B300,1.0/0.0/0.0,0.0,0.0,1.6085941971916902,0.7656898405402899,0.0016075968742370605,46.5
h2o_128,B300,0.7/0.3/0.0,0.3,0.0,1.6326629327316036,0.7771224899217487,0.0016075968742370605,46.5
h2o_128,B300,0.5/0.5/0.0,0.5,0.0,1.633551728568579,0.7775446679443121,0.0016075968742370605,46.5
h2o_128,B300,0.3/0.3/0.4,0.3,0.4,2.151180425756856,1.0234182991087437,0.0016075968742370605,46.5
h2o_128,B300,0.5/0.0/0.5,0.0,0.5,2.257252322215783,1.073802449926734,0.0016075968742370605,46.5
h2o_128,L40S,1.0/0.0/0.0,0.0,0.0,15.25185609189158,7.2598740436412665,0.015242399992766205,46.5
h2o_128,L40S,0.7/0.3/0.0,0.3,0.0,15.288947954977234,7.277492678606952,0.015242399992766205,46.5
h2o_128,L40S,0.5/0.5/0.0,0.5,0.0,15.298807356092665,7.282175894136782,0.015242399992766205,46.5
h2o_128,L40S,0.3/0.3/0.4,0.3,0.4,15.804779606720627,7.522512713185063,0.015242399992766205,46.5
h2o_128,L40S,0.5/0.0/0.5,0.0,0.5,15.897154267071285,7.566390676851626,0.015242399992766205,46.5
h2o_128,RTX_5090,1.0/0.0/0.0,0.0,0.0,7.189247808677945,3.422077499621407,0.007184790499383511,46.5
h2o_128,RTX_5090,0.7/0.3/0.0,0.3,0.0,7.227547991244241,3.440270086340398,0.007184790499383511,46.5
h2o_128,RTX_5090,0.5/0.5/0.0,0.5,0.0,7.238184665448874,3.4453225065875985,0.007184790499383511,46.5
h2o_128,RTX_5090,0.3/0.3/0.4,0.3,0.4,7.744966865041542,3.686044051394116,0.007184790499383511,46.5
h2o_128,RTX_5090,0.5/0.0/0.5,0.0,0.5,7.836531576427491,3.729537289302442,0.007184790499383511,46.5
h2o_128,MI300X,1.0/0.0/0.0,0.0,0.0,2.428066712742174,1.1557582498721357,0.0024265613196031103,46.5
h2o_128,MI300X,0.7/0.3/0.0,0.3,0.0,2.4520126363371664,1.1671325635797571,0.0024265613196031103,46.5
h2o_128,MI300X,0.5/0.5/0.0,0.5,0.0,2.4528224311968776,1.16751721613812,0.0024265613196031103,46.5
h2o_128,MI300X,0.3/0.3/0.4,0.3,0.4,2.970368806276445,1.4133517443009143,0.0024265613196031103,46.5
h2o_128,MI300X,0.5/0.0/0.5,0.0,0.5,3.076523024844082,1.463774998120542,0.0024265613196031103,46.5
h2o_128,MI325X,1.0/0.0/0.0,0.0,0.0,2.1447922629222536,1.020919787387053,0.0021434624989827475,46.5
h2o_128,MI325X,0.7/0.3/0.0,0.3,0.0,2.1687806400290706,1.0323142665127911,0.0021434624989827475,46.5
h2o_128,MI325X,0.5/0.5/0.0,0.5,0.0,2.169617743868577,1.0327118908365567,0.0021434624989827475,46.5
h2o_128,MI325X,0.3/0.3/0.4,0.3,0.4,2.6871925759733766,1.2785599360863367,0.0021434624989827475,46.5
h2o_128,MI325X,0.5/0.0/0.5,0.0,0.5,2.793318337515781,1.3289696728189786,0.0021434624989827475,46.5
h2o_128,MI350X,1.0/0.0/0.0,0.0,0.0,1.6085941971916902,0.7656898405402899,0.0016075968742370605,46.5
h2o_128,MI350X,0.7/0.3/0.0,0.3,0.0,1.6326629327316036,0.7771224899217487,0.0016075968742370605,46.5
h2o_128,MI350X,0.5/0.5/0.0,0.5,0.0,1.633551728568579,0.7775446679443121,0.0016075968742370605,46.5
h2o_128,MI350X,0.3/0.3/0.4,0.3,0.4,2.151180425756856,1.0234182991087437,0.0016075968742370605,46.5
h2o_128,MI350X,0.5/0.0/0.5,0.0,0.5,2.257252322215783,1.073802449926734,0.0016075968742370605,46.5
h2o_128,TPU_v5e,1.0/0.0/0.0,0.0,0.0,16.07024836999308,7.649428260617141,0.01606028487042683,46.5
h2o_128,TPU_v5e,0.7/0.3/0.0,0.3,0.0,16.06789632265926,7.648311038133575,0.01606028487042683,46.5
h2o_128,TPU_v5e,0.5/0.5/0.0,0.5,0.0,16.066290721966766,7.6475483778046405,0.01606028487042683,46.5
h2o_128,TPU_v6e,1.0/0.0/0.0,0.0,0.0,8.03512418499654,3.8247141303085703,0.008030142435213414,46.5
